#EEP	M/Mo	LogTeff	LogG	LogL/Lo	U	B	V	R	I	J	H	Ks	Kp	D51
136	0.981798	3.7615	4.1840	0.2450	5.0915	4.8710	4.1911	3.8235	3.4889	3.0353	2.7142	2.6767	3.9547	4.3605
137	0.983146	3.7613	4.1783	0.2512	5.0762	4.8557	4.1757	3.8081	3.4734	3.0197	2.6985	2.6610	3.9393	4.3452
138	0.984488	3.7613	4.1723	0.2574	5.0615	4.8406	4.1604	3.7927	3.4578	3.0038	2.6825	2.6450	3.9239	4.3298
139	0.985825	3.7612	4.1663	0.2636	5.0468	4.8255	4.1450	3.7771	3.4423	2.9879	2.6664	2.6288	3.9084	4.3145
140	0.987157	3.7611	4.1601	0.2698	5.0326	4.8106	4.1297	3.7616	3.4265	2.9717	2.6500	2.6124	3.8929	4.2992
141	0.988483	3.7610	4.1540	0.2761	5.0182	4.7956	4.1143	3.7461	3.4106	2.9556	2.6335	2.5958	3.8774	4.2839
142	0.989805	3.7608	4.1476	0.2824	5.0046	4.7810	4.0990	3.7304	3.3947	2.9391	2.6167	2.5789	3.8620	4.2687
143	0.991120	3.7606	4.1410	0.2887	4.9912	4.7663	4.0835	3.7148	3.3787	2.9225	2.5997	2.5618	3.8463	4.2535
144	0.992433	3.7604	4.1344	0.2950	4.9780	4.7517	4.0682	3.6990	3.3626	2.9057	2.5825	2.5444	3.8307	4.2384
145	0.993743	3.7600	4.1275	0.3014	4.9654	4.7374	4.0528	3.6832	3.3464	2.8887	2.5648	2.5268	3.8150	4.2233
146	0.995053	3.7598	4.1205	0.3077	4.9532	4.7232	4.0375	3.6673	3.3300	2.8714	2.5470	2.5088	3.7992	4.2082
147	0.996361	3.7594	4.1132	0.3141	4.9420	4.7096	4.0223	3.6513	3.3135	2.8539	2.5286	2.4901	3.7836	4.1934
148	0.997667	3.7590	4.1057	0.3205	4.9314	4.6961	4.0070	3.6353	3.2968	2.8360	2.5099	2.4713	3.7678	4.1787
149	0.998975	3.7585	4.0980	0.3269	4.9217	4.6829	3.9919	3.6193	3.2801	2.8178	2.4907	2.4519	3.7521	4.1642
150	1.000287	3.7580	4.0899	0.3333	4.9130	4.6699	3.9768	3.6033	3.2632	2.7994	2.4711	2.4321	3.7363	4.1497
151	1.001602	3.7574	4.0816	0.3398	4.9057	4.6575	3.9618	3.5873	3.2463	2.7806	2.4510	2.4118	3.7206	4.1355
152	1.002929	3.7567	4.0729	0.3462	4.8991	4.6454	3.9469	3.5711	3.2292	2.7614	2.4304	2.3911	3.7049	4.1214
153	1.004265	3.7558	4.0638	0.3527	4.8947	4.6340	3.9322	3.5551	3.2119	2.7417	2.4090	2.3694	3.6893	4.1078
154	1.005615	3.7549	4.0542	0.3592	4.8923	4.6235	3.9178	3.5390	3.1945	2.7214	2.3867	2.3468	3.6737	4.0946
155	1.006994	3.7538	4.0440	0.3656	4.8924	4.6141	3.9038	3.5231	3.1769	2.7006	2.3635	2.3234	3.6584	4.0820
156	1.008405	3.7526	4.0331	0.3719	4.8957	4.6059	3.8903	3.5074	3.1594	2.6789	2.3390	2.2986	3.6432	4.0703
157	1.009865	3.7510	4.0211	0.3783	4.9041	4.6002	3.8778	3.4920	3.1416	2.6564	2.3130	2.2721	3.6288	4.0599
158	1.011394	3.7490	4.0077	0.3843	4.9184	4.5984	3.8671	3.4773	3.1239	2.6327	2.2846	2.2431	3.6153	4.0521
159	1.013008	3.7464	3.9924	0.3898	4.9435	4.6029	3.8596	3.4644	3.1066	2.6077	2.2535	2.2110	3.6040	4.0485
160	1.014654	3.7429	3.9751	0.3940	4.9848	4.6174	3.8578	3.4553	3.0918	2.5824	2.2199	2.1761	3.5970	4.0522
161	1.016154	3.7388	3.9573	0.3962	5.0437	4.6423	3.8633	3.4520	3.0818	2.5598	2.1872	2.1417	3.5962	4.0646
162	1.017305	3.7350	3.9425	0.3958	5.1077	4.6728	3.8752	3.4553	3.0786	2.5446	2.1623	2.1152	3.6019	4.0834
163	1.018444	3.7303	3.9255	0.3948	5.1883	4.7121	3.8918	3.4614	3.0767	2.5281	2.1342	2.0850	3.6108	4.1086
164	1.019571	3.7248	3.9059	0.3931	5.2863	4.7600	3.9136	3.4706	3.0766	2.5106	2.1028	2.0510	3.6233	4.1411
165	1.020699	3.7188	3.8827	0.3926	5.3962	4.8117	3.9362	3.4790	3.0745	2.4883	2.0646	2.0099	3.6353	4.1768
166	1.021831	3.7126	3.8550	0.3958	5.5030	4.8570	3.9519	3.4794	3.0639	2.4566	2.0159	1.9582	3.6394	4.2069
167	1.022899	3.7071	3.8242	0.4054	5.5829	4.8807	3.9503	3.4644	3.0388	2.4128	1.9571	1.8965	3.6274	4.2191
168	1.023832	3.7030	3.7934	0.4204	5.6226	4.8789	3.9302	3.4343	3.0011	2.3608	1.8938	1.8311	3.5994	4.2095
