#EEP	M/Mo	LogTeff	LogG	LogL/Lo	U	B	V	R	I	J	H	Ks	Kp	D51
268	1.044096	3.5291	0.3638	3.1626	2.7771	1.5632	0.4786	-0.9668	-3.0450	-4.9919	-5.9249	-6.2050	-1.3661	0.4491
269	1.044101	3.5265	0.3290	3.1869	2.7659	1.6458	0.6138	-0.9103	-3.0292	-5.0622	-6.0001	-6.2843	-1.3325	0.5480
270	1.044107	3.5239	0.2948	3.2108	2.7587	1.7192	0.7264	-0.8673	-3.0149	-5.1295	-6.0730	-6.3614	-1.3057	0.6385
271	1.044112	3.5214	0.2615	3.2340	2.7597	1.7775	0.7950	-0.8460	-3.0081	-5.1919	-6.1428	-6.4354	-1.2915	0.7099
272	1.044117	3.5186	0.2277	3.2570	2.7680	1.8385	0.8553	-0.8273	-2.9963	-5.2524	-6.2121	-6.5093	-1.2753	0.7851
273	1.044122	3.5162	0.1955	3.2791	2.7756	1.8875	0.8960	-0.8182	-2.9890	-5.3102	-6.2785	-6.5797	-1.2659	0.8470
274	1.044127	3.5137	0.1640	3.3009	2.7834	1.9313	0.9261	-0.8132	-2.9828	-5.3669	-6.3434	-6.6486	-1.2591	0.9025
275	1.044132	3.5113	0.1331	3.3221	2.7918	1.9725	0.9501	-0.8092	-2.9758	-5.4221	-6.4068	-6.7157	-1.2522	0.9550
276	1.044136	3.5089	0.1029	3.3428	2.8002	2.0105	0.9744	-0.8007	-2.9680	-5.4768	-6.4696	-6.7815	-1.2435	1.0030
277	1.044139	3.5066	0.0737	3.3627	2.7881	2.0353	0.9877	-0.7965	-2.9629	-5.5300	-6.5291	-6.8444	-1.2383	1.0381
278	1.044143	3.5043	0.0456	3.3818	2.7791	2.0601	1.0003	-0.7905	-2.9570	-5.5813	-6.5861	-6.9041	-1.2323	1.0715
279	1.044171	3.5025	0.0225	3.3976	2.7723	2.0789	1.0083	-0.7864	-2.9533	-5.6241	-6.6332	-6.9531	-1.2284	1.0961
