#NUMBER	OF	AGES=	1	MAGS=	3
#----------------------------------------------------	
#MIX-LEN	Y	Z	Zeff	[Fe/H]	[a/Fe]
#	1.9380	0.2458	4.8807E-04	4.8807E-04	-1.54	0.00	
#----------------------------------------------------	
#**PHOTOMETRIC	SYSTEM**:	Gaia	DR2	Revised	(Vega)
#----------------------------------------------------	
#AGE=12.000	EEPS=267
#EEP	M/Mo	LogTeff	LogG	LogL/Lo	Gaia_G	Gaia_BP	Gaia_RP
90	0.699372	3.7775	4.5292	-0.1833	5.1536	5.4122	4.7226
91	0.703733	3.7799	4.5195	-0.1613	5.0994	5.3537	4.6729
92	0.708019	3.7822	4.5096	-0.1396	5.0452	5.2956	4.6234
93	0.712210	3.7844	4.4996	-0.1178	4.9914	5.2380	4.5739
94	0.716302	3.7867	4.4893	-0.0962	4.9380	5.1809	4.5246
95	0.720283	3.7888	4.4789	-0.0748	4.8850	5.1245	4.4757
96	0.724149	3.7909	4.4683	-0.0536	4.8325	5.0687	4.4271
97	0.727900	3.7929	4.4575	-0.0325	4.7807	5.0135	4.3789
98	0.731537	3.7948	4.4465	-0.0117	4.7292	4.9590	4.3313
99	0.735064	3.7966	4.4353	0.0089	4.6784	4.9052	4.2841
100	0.738478	3.7984	4.4238	0.0293	4.6280	4.8520	4.2371
101	0.741789	3.8000	4.4121	0.0495	4.5780	4.7994	4.1903
102	0.744998	3.8015	4.4002	0.0695	4.5285	4.7475	4.1438
103	0.748112	3.8031	4.3880	0.0895	4.4793	4.6960	4.0976
104	0.751132	3.8044	4.3756	0.1091	4.4306	4.6450	4.0516
105	0.754057	3.8057	4.3630	0.1286	4.3821	4.5945	4.0058
106	0.756892	3.8069	4.3502	0.1480	4.3341	4.5446	3.9603
107	0.759647	3.8081	4.3372	0.1672	4.2864	4.4951	3.9151
108	0.762329	3.8092	4.3239	0.1862	4.2390	4.4460	3.8700
109	0.764947	3.8102	4.3104	0.2053	4.1919	4.3973	3.8250
110	0.767507	3.8111	4.2967	0.2241	4.1450	4.3490	3.7801
111	0.770014	3.8119	4.2827	0.2428	4.0984	4.3010	3.7353
112	0.770765	3.8122	4.2785	0.2486	4.0840	4.2862	3.7216
113	0.771513	3.8125	4.2743	0.2545	4.0693	4.2711	3.7076
114	0.772259	3.8128	4.2700	0.2603	4.0547	4.2559	3.6937
115	0.773001	3.8132	4.2658	0.2663	4.0398	4.2405	3.6795
116	0.773743	3.8135	4.2617	0.2724	4.0249	4.2249	3.6653
117	0.774483	3.8139	4.2574	0.2784	4.0097	4.2093	3.6510
118	0.775220	3.8142	4.2531	0.2845	3.9945	4.1935	3.6365
119	0.775956	3.8145	4.2486	0.2907	3.9791	4.1776	3.6218
120	0.776688	3.8148	4.2440	0.2970	3.9635	4.1615	3.6069
121	0.777415	3.8151	4.2391	0.3034	3.9477	4.1453	3.5917
122	0.778139	3.8154	4.2339	0.3098	3.9317	4.1290	3.5762
123	0.778859	3.8155	4.2285	0.3162	3.9155	4.1124	3.5605
124	0.779575	3.8157	4.2231	0.3228	3.8991	4.0958	3.5445
125	0.780287	3.8158	4.2175	0.3294	3.8826	4.0790	3.5283
126	0.780994	3.8159	4.2117	0.3360	3.8659	4.0621	3.5119
127	0.781696	3.8161	4.2058	0.3428	3.8489	4.0450	3.4954
128	0.782396	3.8161	4.1997	0.3496	3.8319	4.0278	3.4786
129	0.783093	3.8162	4.1935	0.3564	3.8147	4.0105	3.4616
130	0.783784	3.8163	4.1871	0.3634	3.7974	3.9930	3.4444
131	0.784473	3.8163	4.1807	0.3703	3.7799	3.9754	3.4272
132	0.785156	3.8163	4.1741	0.3773	3.7623	3.9578	3.4096
133	0.785835	3.8162	4.1672	0.3844	3.7444	3.9400	3.3918
134	0.786508	3.8161	4.1601	0.3916	3.7264	3.9221	3.3737
135	0.787175	3.8160	4.1528	0.3988	3.7083	3.9040	3.3554
136	0.787836	3.8159	4.1454	0.4060	3.6899	3.8859	3.3368
137	0.788490	3.8157	4.1375	0.4133	3.6713	3.8677	3.3180
138	0.789138	3.8155	4.1296	0.4208	3.6526	3.8493	3.2990
139	0.789779	3.8152	4.1215	0.4282	3.6338	3.8308	3.2796
140	0.790413	3.8149	4.1130	0.4357	3.6148	3.8122	3.2600
141	0.791038	3.8145	4.1043	0.4434	3.5955	3.7935	3.2402
142	0.791655	3.8141	4.0953	0.4510	3.5761	3.7747	3.2200
143	0.792262	3.8136	4.0860	0.4586	3.5565	3.7559	3.1995
144	0.792862	3.8131	4.0765	0.4665	3.5368	3.7369	3.1787
145	0.793451	3.8125	4.0666	0.4743	3.5168	3.7179	3.1577
146	0.794029	3.8118	4.0563	0.4822	3.4968	3.6989	3.1363
147	0.794598	3.8111	4.0458	0.4901	3.4766	3.6798	3.1146
148	0.795154	3.8102	4.0347	0.4981	3.4561	3.6607	3.0925
149	0.795700	3.8093	4.0233	0.5062	3.4355	3.6416	3.0702
150	0.796233	3.8083	4.0115	0.5142	3.4148	3.6224	3.0474
151	0.796755	3.8072	3.9992	0.5224	3.3940	3.6033	3.0244
152	0.797262	3.8060	3.9864	0.5305	3.3731	3.5843	3.0011
153	0.797758	3.8047	3.9731	0.5388	3.3521	3.5654	2.9775
154	0.798239	3.8032	3.9592	0.5469	3.3310	3.5466	2.9536
155	0.798708	3.8016	3.9448	0.5552	3.3100	3.5281	2.9296
156	0.799162	3.7998	3.9298	0.5635	3.2889	3.5096	2.9052
157	0.799602	3.7980	3.9142	0.5718	3.2679	3.4914	2.8807
158	0.800030	3.7959	3.8981	0.5800	3.2469	3.4734	2.8559
159	0.800444	3.7938	3.8814	0.5883	3.2259	3.4558	2.8310
160	0.800847	3.7915	3.8643	0.5966	3.2050	3.4383	2.8058
161	0.801237	3.7889	3.8461	0.6047	3.1842	3.4216	2.7803
162	0.801562	3.7853	3.8248	0.6116	3.1667	3.4099	2.7560
163	0.801884	3.7814	3.8024	0.6186	3.1494	3.3990	2.7313
164	0.802205	3.7772	3.7790	0.6255	3.1322	3.3889	2.7062
165	0.802526	3.7733	3.7566	0.6326	3.1148	3.3782	2.6811
166	0.802848	3.7702	3.7368	0.6399	3.0969	3.3660	2.6569
167	0.803169	3.7673	3.7178	0.6473	3.0786	3.3530	2.6329
168	0.803486	3.7642	3.6980	0.6549	3.0602	3.3401	2.6085
169	0.803796	3.7611	3.6780	0.6629	3.0411	3.3265	2.5834
170	0.804099	3.7581	3.6578	0.6715	3.0210	3.3117	2.5575
171	0.804389	3.7554	3.6378	0.6806	2.9993	3.2952	2.5306
172	0.804665	3.7528	3.6181	0.6903	2.9762	3.2768	2.5026
173	0.804924	3.7506	3.5987	0.7006	2.9516	3.2565	2.4736
174	0.805168	3.7485	3.5799	0.7115	2.9258	3.2345	2.4439
175	0.805398	3.7468	3.5616	0.7227	2.8988	3.2109	2.4136
176	0.805616	3.7452	3.5439	0.7342	2.8711	3.1860	2.3827
177	0.805823	3.7437	3.5267	0.7460	2.8426	3.1601	2.3517
178	0.806023	3.7425	3.5099	0.7579	2.8136	3.1335	2.3204
179	0.806215	3.7414	3.4934	0.7700	2.7842	3.1062	2.2889
180	0.806401	3.7404	3.4773	0.7822	2.7545	3.0785	2.2574
181	0.806582	3.7395	3.4613	0.7946	2.7246	3.0503	2.2258
182	0.806782	3.7385	3.4438	0.8084	2.6907	3.0182	2.1902
183	0.806980	3.7377	3.4263	0.8226	2.6562	2.9854	2.1540
184	0.807177	3.7369	3.4088	0.8370	2.6210	2.9517	2.1174
185	0.807373	3.7361	3.3913	0.8515	2.5853	2.9174	2.0803
186	0.807568	3.7354	3.3740	0.8661	2.5493	2.8827	2.0430
187	0.807762	3.7348	3.3566	0.8810	2.5129	2.8475	2.0054
188	0.807956	3.7342	3.3393	0.8960	2.4761	2.8120	1.9676
189	0.808149	3.7336	3.3220	0.9110	2.4392	2.7761	1.9295
190	0.808342	3.7330	3.3048	0.9262	2.4019	2.7399	1.8913
191	0.808535	3.7325	3.2876	0.9413	2.3645	2.7035	1.8529
192	0.808726	3.7319	3.2703	0.9566	2.3267	2.6667	1.8142
193	0.808916	3.7314	3.2529	0.9721	2.2885	2.6294	1.7751
194	0.809107	3.7309	3.2354	0.9878	2.2498	2.5918	1.7356
195	0.809295	3.7305	3.2177	1.0037	2.2108	2.5537	1.6957
196	0.809483	3.7300	3.2000	1.0197	2.1713	2.5151	1.6554
197	0.809670	3.7295	3.1822	1.0359	2.1316	2.4761	1.6147
198	0.809855	3.7291	3.1644	1.0520	2.0915	2.4370	1.5739
199	0.810036	3.7287	3.1458	1.0688	2.0501	2.3964	1.5316
200	0.810212	3.7282	3.1265	1.0864	2.0066	2.3539	1.4873
201	0.810381	3.7277	3.1064	1.1045	1.9618	2.3101	1.4416
202	0.810546	3.7273	3.0860	1.1232	1.9159	2.2652	1.3947
203	0.810708	3.7268	3.0650	1.1422	1.8689	2.2193	1.3468
204	0.810864	3.7263	3.0436	1.1618	1.8207	2.1722	1.2975
205	0.811016	3.7258	3.0217	1.1816	1.7716	2.1243	1.2475
206	0.811164	3.7252	2.9994	1.2019	1.7217	2.0755	1.1964
207	0.811307	3.7246	2.9766	1.2224	1.6710	2.0261	1.1445
208	0.811446	3.7239	2.9533	1.2432	1.6196	1.9760	1.0918
209	0.811582	3.7233	2.9296	1.2645	1.5674	1.9253	1.0384
210	0.811712	3.7227	2.9055	1.2860	1.5145	1.8739	0.9842
211	0.811840	3.7220	2.8810	1.3077	1.4610	1.8219	0.9292
212	0.811963	3.7213	2.8564	1.3297	1.4069	1.7694	0.8738
213	0.812081	3.7205	2.8313	1.3519	1.3523	1.7164	0.8176
